"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,1,45.3465,0.1,0.1,57,"om","2","opaka-sim"
1,"Comm",1,1,1,43.5895,0.1,0.1,58,"om","2","opaka-sim"
1,"Comm",1,1,1,42.9884,0.1,0.1,59,"om","2","opaka-sim"
1,"Comm",1,1,1,45.5979,0.1,0.1,60,"om","2","opaka-sim"
1,"Comm",1,1,1,46.8723,0.1,0.1,61,"om","2","opaka-sim"
1,"Comm",1,1,1,50.0562,0.1,0.1,62,"om","2","opaka-sim"
1,"Comm",1,1,1,49.3949,0.1,0.1,63,"om","2","opaka-sim"
1,"Comm",1,1,1,48.0463,0.1,0.1,64,"om","2","opaka-sim"
1,"Comm",1,1,1,45.3668,0.1,0.1,65,"om","2","opaka-sim"
1,"Comm",1,1,1,43.6113,0.1,0.1,66,"om","2","opaka-sim"
1,"Comm",1,1,1,44.0142,0.1,0.1,67,"om","2","opaka-sim"
1,"Comm",1,1,1,43.3709,0.1,0.1,68,"om","2","opaka-sim"
1,"Comm",1,1,1,44.3543,0.1,0.1,69,"om","2","opaka-sim"
1,"Comm",1,1,1,45.6574,0.1,0.1,70,"om","2","opaka-sim"
1,"Comm",1,1,1,46.8618,0.1,0.1,71,"om","2","opaka-sim"
1,"Comm",1,1,1,46.911,0.1,0.1,72,"om","2","opaka-sim"
1,"Comm",1,1,1,48.0796,0.1,0.1,73,"om","2","opaka-sim"
1,"Comm",1,1,1,50.0583,0.1,0.1,74,"om","2","opaka-sim"
1,"Comm",1,1,1,51.2777,0.1,0.1,75,"om","2","opaka-sim"
